Time;Bundesland;BundeslandID;AnzEinwohner;AnzahlFaelle;AnzahlFaelleSum;AnzahlFaelle7Tage;SiebenTageInzidenzFaelle;AnzahlTotTaeglich;AnzahlTotSum;AnzahlGeheiltTaeglich;AnzahlGeheiltSum
27.10.2021 00:00:00;Oberösterreich;4;1495608;1112;153257;6103;408,0615;6;2172;533;141797
27.10.2021 00:00:00;Salzburg;5;560710;376;63442;2439;434,9842;3;781;225;59017
27.10.2021 00:00:00;Steiermark;6;1247077;457;99433;3274;262,5339;5;2582;383;92076
27.10.2021 00:00:00;Tirol;7;760105;419;74568;2024;266,279;2;998;162;70838
27.10.2021 00:00:00;Vorarlberg;8;399237;147;36160;1006;251,9807;0;405;65;34405
27.10.2021 00:00:00;Wien;9;1920949;452;177065;3315;172,571;4;2954;432;163975
27.10.2021 00:00:00;Österreich;10;8932664;4311;810353;25771;288,503;29;13894;2466;753402
28.10.2021 00:00:00;Burgenland;1;296010;149;21574;634;214,1819;1;434;64;20240
28.10.2021 00:00:00;Kärnten;2;562089;360;48936;1804;320,9456;1;1108;182;45502
28.10.2021 00:00:00;Niederösterreich;3;1690879;1111;137538;5811;343,6674;4;2466;491;126289
28.10.2021 00:00:00;Oberösterreich;4;1495608;1620;154877;6936;463,7579;3;2175;690;142487
28.10.2021 00:00:00;Salzburg;5;560710;502;63944;2547;454,2455;1;782;223;59240
28.10.2021 00:00:00;Steiermark;6;1247077;690;100123;3490;279,8544;1;2583;345;92421
28.10.2021 00:00:00;Tirol;7;760105;315;74883;2086;274,4358;4;1002;179;71017
28.10.2021 00:00:00;Vorarlberg;8;399237;304;36464;1198;300,0724;0;405;40;34445
28.10.2021 00:00:00;Wien;9;1920949;887;177952;3716;193,446;2;2956;373;164348
28.10.2021 00:00:00;Österreich;10;8932664;5938;816291;28222;315,9416;17;13911;2587;755989
29.10.2021 00:00:00;Burgenland;1;296010;135;21709;699;236,1407;1;435;64;20304
29.10.2021 00:00:00;Kärnten;2;562089;410;49346;2009;357,4167;0;1108;173;45675
29.10.2021 00:00:00;Niederösterreich;3;1690879;1146;138684;6185;365,7861;7;2473;672;126961
29.10.2021 00:00:00;Oberösterreich;4;1495608;1481;156358;7499;501,4014;4;2179;723;143210
29.10.2021 00:00:00;Salzburg;5;560710;580;64524;2769;493,8382;1;783;276;59516
29.10.2021 00:00:00;Steiermark;6;1247077;739;100862;3769;302,2267;1;2584;352;92773
29.10.2021 00:00:00;Tirol;7;760105;492;75375;2248;295,7486;0;1002;258;71275
29.10.2021 00:00:00;Vorarlberg;8;399237;248;36712;1335;334,3878;0;405;69;34514
29.10.2021 00:00:00;Wien;9;1920949;752;178704;3982;207,2934;0;2956;313;164661
29.10.2021 00:00:00;Österreich;10;8932664;5983;822274;30495;341,3875;14;13925;2900;758889
30.10.2021 00:00:00;Burgenland;1;296010;83;21792;705;238,1676;0;435;37;20341
30.10.2021 00:00:00;Kärnten;2;562089;335;49681;2059;366,3121;1;1109;199;45874
30.10.2021 00:00:00;Niederösterreich;3;1690879;1181;139865;6700;396,2436;9;2482;639;127600
30.10.2021 00:00:00;Oberösterreich;4;1495608;1451;157809;8136;543,9928;7;2186;670;143880
30.10.2021 00:00:00;Salzburg;5;560710;570;65094;3044;542,8831;1;784;242;59758
30.10.2021 00:00:00;Steiermark;6;1247077;714;101576;3958;317,3822;3;2587;369;93142
30.10.2021 00:00:00;Tirol;7;760105;429;75804;2431;319,8242;0;1002;239;71514
30.10.2021 00:00:00;Vorarlberg;8;399237;309;37021;1492;373,7129;0;405;110;34624
30.10.2021 00:00:00;Wien;9;1920949;558;179262;4068;211,7703;6;2962;315;164976
30.10.2021 00:00:00;Österreich;10;8932664;5630;827904;32593;364,8744;27;13952;2820;761709
31.10.2021 00:00:00;Burgenland;1;296010;110;21902;758;256,0724;0;435;47;20388
31.10.2021 00:00:00;Kärnten;2;562089;203;49884;2140;380,7226;1;1110;184;46058
31.10.2021 00:00:00;Niederösterreich;3;1690879;933;140798;6985;413,0988;3;2485;573;128173
31.10.2021 00:00:00;Oberösterreich;4;1495608;1326;159135;8810;589,0581;4;2190;636;144516
31.10.2021 00:00:00;Salzburg;5;560710;417;65511;3278;584,6159;3;787;243;60001
31.10.2021 00:00:00;Steiermark;6;1247077;675;102251;4201;336,8677;4;2591;479;93621
31.10.2021 00:00:00;Tirol;7;760105;319;76123;2556;336,2693;1;1003;258;71772
31.10.2021 00:00:00;Vorarlberg;8;399237;181;37202;1573;394,0016;0;405;84;34708
31.10.2021 00:00:00;Wien;9;1920949;637;179899;4296;223,6395;2;2964;266;165242
31.10.2021 00:00:00;Österreich;10;8932664;4801;832705;34597;387,3089;18;13970;2770;764479
01.11.2021 00:00:00;Burgenland;1;296010;127;22029;821;277,3555;1;436;70;20458
01.11.2021 00:00:00;Kärnten;2;562089;350;50234;2242;398,8692;1;1111;184;46242
01.11.2021 00:00:00;Niederösterreich;3;1690879;1268;142066;7530;445,3305;8;2493;666;128839
01.11.2021 00:00:00;Oberösterreich;4;1495608;1279;160414;9335;624,1609;3;2193;1085;145601
01.11.2021 00:00:00;Salzburg;5;560710;479;65990;3335;594,7816;1;788;242;60243
01.11.2021 00:00:00;Steiermark;6;1247077;456;102707;4276;342,8818;5;2596;387;94008
01.11.2021 00:00:00;Tirol;7;760105;458;76581;2766;363,8971;1;1004;242;72014
01.11.2021 00:00:00;Vorarlberg;8;399237;205;37407;1644;411,7855;0;405;132;34840
01.11.2021 00:00:00;Wien;9;1920949;663;180562;4484;233,4263;4;2968;256;165498
01.11.2021 00:00:00;Österreich;10;8932664;5285;837990;36433;407,8626;24;13994;3264;767743
02.11.2021 00:00:00;Burgenland;1;296010;220;22249;926;312,8273;0;436;92;20550
02.11.2021 00:00:00;Kärnten;2;562089;408;50642;2322;413,1018;0;1111;242;46484
02.11.2021 00:00:00;Niederösterreich;3;1690879;1204;143270;7833;463,2502;8;2501;818;129657
02.11.2021 00:00:00;Oberösterreich;4;1495608;1626;162040;9895;661,6038;7;2200;922;146523
02.11.2021 00:00:00;Salzburg;5;560710;538;66528;3462;617,4315;2;790;401;60644
02.11.2021 00:00:00;Steiermark;6;1247077;884;103591;4615;370,0654;2;2598;457;94465
02.11.2021 00:00:00;Tirol;7;760105;632;77213;3064;403,1022;0;1004;350;72364
02.11.2021 00:00:00;Vorarlberg;8;399237;239;37646;1633;409,0302;0;405;76;34916
02.11.2021 00:00:00;Wien;9;1920949;831;181393;4780;248,8353;5;2973;508;166006
02.11.2021 00:00:00;Österreich;10;8932664;6582;844572;38530;431,3383;24;14018;3866;771609
03.11.2021 00:00:00;Burgenland;1;296010;246;22495;1070;361,4743;2;438;60;20610
03.11.2021 00:00:00;Kärnten;2;562089;501;51143;2567;456,6892;2;1113;221;46705
03.11.2021 00:00:00;Niederösterreich;3;1690879;1312;144582;8155;482,2935;8;2509;767;130424
03.11.2021 00:00:00;Oberösterreich;4;1495608;2378;164418;11161;746,2517;7;2207;913;147436
03.11.2021 00:00:00;Salzburg;5;560710;886;67414;3972;708,3876;2;792;339;60983
03.11.2021 00:00:00;Steiermark;6;1247077;1097;104688;5255;421,3854;3;2601;312;94777
03.11.2021 00:00:00;Tirol;7;760105;680;77893;3325;437,4396;2;1006;257;72621
03.11.2021 00:00:00;Vorarlberg;8;399237;354;38000;1840;460,8791;1;406;131;35047
03.11.2021 00:00:00;Wien;9;1920949;1525;182918;5853;304,6931;8;2981;342;166348
03.11.2021 00:00:00;Österreich;10;8932664;8979;853551;43198;483,5959;35;14053;3342;774951
04.11.2021 00:00:00;Burgenland;1;296010;307;22802;1228;414,8509;3;441;54;20664
04.11.2021 00:00:00;Kärnten;2;562089;631;51774;2838;504,9023;2;1115;266;46971
04.11.2021 00:00:00;Niederösterreich;3;1690879;1904;146486;8948;529,1922;3;2512;745;131169
04.11.2021 00:00:00;Oberösterreich;4;1495608;2628;167046;12169;813,649;5;2212;878;148314
04.11.2021 00:00:00;Salzburg;5;560710;884;68298;4354;776,5155;3;795;355;61338
04.11.2021 00:00:00;Steiermark;6;1247077;1126;105814;5691;456,3471;3;2604;335;95112
04.11.2021 00:00:00;Tirol;7;760105;598;78491;3608;474,6713;1;1007;304;72925
04.11.2021 00:00:00;Vorarlberg;8;399237;396;38396;1932;483,9231;3;409;115;35162
04.11.2021 00:00:00;Wien;9;1920949;1303;184221;6269;326,3491;6;2987;445;166793
04.11.2021 00:00:00;Österreich;10;8932664;9777;863328;47037;526,5731;29;14082;3497;778448
05.11.2021 00:00:00;Burgenland;1;296010;189;22991;1282;433,0935;0;441;105;20769
05.11.2021 00:00:00;Kärnten;2;562089;601;52375;3029;538,8826;1;1116;307;47278
05.11.2021 00:00:00;Niederösterreich;3;1690879;2079;148565;9881;584,3706;11;2523;932;132101
05.11.2021 00:00:00;Oberösterreich;4;1495608;2399;169445;13087;875,0287;7;2219;1053;149367
05.11.2021 00:00:00;Salzburg;5;560710;1038;69336;4812;858,1976;1;796;432;61770
05.11.2021 00:00:00;Steiermark;6;1247077;1214;107028;6166;494,4362;6;2610;391;95503
05.11.2021 00:00:00;Tirol;7;760105;732;79223;3848;506,2458;0;1007;352;73277
05.11.2021 00:00:00;Vorarlberg;8;399237;405;38801;2089;523,2481;1;410;80;35242
05.11.2021 00:00:00;Wien;9;1920949;1054;185275;6571;342,0705;8;2995;330;167123
05.11.2021 00:00:00;Österreich;10;8932664;9711;873039;50765;568,3075;35;14117;3982;782430
06.11.2021 00:00:00;Burgenland;1;296010;203;23194;1402;473,6327;1;442;62;20831
06.11.2021 00:00:00;Kärnten;2;562089;592;52967;3286;584,6049;2;1118;362;47640
06.11.2021 00:00:00;Niederösterreich;3;1690879;1626;150191;10326;610,6883;11;2534;802;132903
06.11.2021 00:00:00;Oberösterreich;4;1495608;2300;171745;13936;931,795;7;2226;1060;150427
06.11.2021 00:00:00;Salzburg;5;560710;849;70185;5091;907,956;1;797;314;62084
06.11.2021 00:00:00;Steiermark;6;1247077;495;107523;5947;476,8751;3;2613;543;96046
06.11.2021 00:00:00;Tirol;7;760105;636;79859;4055;533,4789;1;1008;292;73569
06.11.2021 00:00:00;Vorarlberg;8;399237;327;39128;2107;527,7567;1;411;164;35406
06.11.2021 00:00:00;Wien;9;1920949;1089;186364;7102;369,7131;5;3000;382;167505
06.11.2021 00:00:00;Österreich;10;8932664;8117;881156;53252;596,1492;32;14149;3981;786411
07.11.2021 00:00:00;Burgenland;1;296010;246;23440;1538;519,577;0;442;108;20939
07.11.2021 00:00:00;Kärnten;2;562089;405;53372;3488;620,5423;3;1121;266;47906
07.11.2021 00:00:00;Niederösterreich;3;1690879;1474;151665;10867;642,6835;9;2543;784;133687
07.11.2021 00:00:00;Oberösterreich;4;1495608;2079;173824;14689;982,1424;5;2231;1428;151855
07.11.2021 00:00:00;Salzburg;5;560710;731;70916;5405;963,9564;4;801;343;62427
07.11.2021 00:00:00;Steiermark;6;1247077;1306;108829;6578;527,4734;5;2618;448;96494
07.11.2021 00:00:00;Tirol;7;760105;554;80413;4290;564,3957;0;1008;377;73946
07.11.2021 00:00:00;Vorarlberg;8;399237;336;39464;2262;566,5807;0;411;161;35567
07.11.2021 00:00:00;Wien;9;1920949;888;187252;7353;382,7795;3;3003;346;167851
07.11.2021 00:00:00;Österreich;10;8932664;8019;889175;56470;632,1743;29;14178;4261;790672
08.11.2021 00:00:00;Burgenland;1;296010;139;23579;1550;523,631;0;442;106;21045
08.11.2021 00:00:00;Kärnten;2;562089;572;53944;3710;660,0378;2;1123;250;48156
08.11.2021 00:00:00;Niederösterreich;3;1690879;1831;153496;11430;675,9798;6;2549;1058;134745
08.11.2021 00:00:00;Oberösterreich;4;1495608;1952;175776;15362;1027,141;10;2241;1313;153168
08.11.2021 00:00:00;Salzburg;5;560710;457;71373;5383;960,0328;2;803;451;62878
08.11.2021 00:00:00;Steiermark;6;1247077;757;109586;6879;551,6099;7;2625;354;96848
08.11.2021 00:00:00;Tirol;7;760105;700;81113;4532;596,2334;1;1009;306;74252
08.11.2021 00:00:00;Vorarlberg;8;399237;216;39680;2273;569,336;0;411;228;35795
08.11.2021 00:00:00;Wien;9;1920949;1136;188388;7826;407,4028;7;3010;438;168289
